iter	Logloss
0	0.6796469074
1	0.667474154
2	0.656578289
3	0.646809207
4	0.6379846717
5	0.6301040777
6	0.6229904303
7	0.6166444776
8	0.6109959491
9	0.6058382
10	0.6012171589
11	0.5970684367
12	0.5933863311
13	0.5900161297
14	0.5870375401
15	0.5842794901
16	0.5818523858
17	0.5796258439
18	0.5776165132
19	0.5757934578
20	0.5741819771
21	0.5727275359
22	0.5713991882
23	0.5701670348
24	0.5690550624
25	0.568059009
26	0.5671596912
27	0.5664036179
28	0.5656760448
29	0.5650272092
30	0.5644432477
31	0.5639504248
32	0.5635092967
33	0.5630419452
34	0.5626262862
35	0.5622503423
36	0.5618900555
37	0.5615643465
38	0.561252792
39	0.5609635608
40	0.5606970508
41	0.5604273826
42	0.5601974903
43	0.5599842768
44	0.5597869128
45	0.5595848599
46	0.5594246302
47	0.5592573929
48	0.5590816337
49	0.5589490851
50	0.5588135583
51	0.5586535007
52	0.5585381181
53	0.5584122655
54	0.5582653996
55	0.5581597569
56	0.5580533825
57	0.5579489995
58	0.5578576002
59	0.5577951073
60	0.557692189
61	0.557572152
62	0.5574884356
63	0.5573977091
64	0.5572985056
65	0.5571954762
66	0.5571172699
67	0.5570263641
68	0.5569420174
69	0.5568607553
70	0.5567940121
71	0.5566835819
72	0.5565997751
73	0.5565223382
74	0.556438281
75	0.5563589718
76	0.5562902586
77	0.5562078956
78	0.5561617252
79	0.556075111
80	0.5559649206
81	0.5559065254
82	0.5558194386
83	0.5557372541
84	0.5556726541
85	0.5556025283
86	0.5555040405
87	0.5554263644
88	0.5553598814
89	0.5552930278
90	0.5552124179
91	0.5551958771
92	0.5550907275
93	0.5549986522
94	0.5549177511
95	0.5548273991
96	0.5547836363
97	0.5546997872
98	0.5546285232
99	0.5545514568
100	0.5544801329
101	0.5543902731
102	0.5542861531
103	0.5542009095
104	0.5541459426
105	0.5540962315
106	0.5540258122
107	0.5539579305
108	0.553903084
109	0.5538220601
110	0.5537272663
111	0.5536569208
112	0.5535651675
113	0.5534900009
114	0.5534217722
115	0.5533616704
116	0.5532876814
117	0.5531674241
118	0.55311689
119	0.5530570636
120	0.5529809319
121	0.5528861269
122	0.552832966
123	0.5527483385
124	0.5526917013
125	0.5526098192
126	0.5525421288
127	0.5524614146
128	0.5523684453
129	0.5522916523
130	0.5522882198
131	0.5522273812
132	0.5521649882
133	0.5521066033
134	0.5520292224
135	0.5519696169
136	0.5519066637
137	0.5518216733
138	0.5517663309
139	0.5516855885
140	0.5515981038
141	0.5515460373
142	0.5514433974
143	0.551394007
144	0.5513202004
145	0.5512377472
146	0.5511502519
147	0.5510640947
148	0.5509779202
149	0.5509175548
150	0.550881357
151	0.5507937605
152	0.5507089167
153	0.5506211564
154	0.5505735121
155	0.5504998462
156	0.5504138305
157	0.5503442326
158	0.5502794089
159	0.5502405684
160	0.5501806035
161	0.5501161266
162	0.5500126478
163	0.5499553656
164	0.5498706146
165	0.5498022315
166	0.5497141713
167	0.5496437854
168	0.5495563028
169	0.5494618991
170	0.5493754652
171	0.5493073215
172	0.5492252474
173	0.5491502882
174	0.5491116759
175	0.5490544514
176	0.5489799
177	0.5489044686
178	0.5488185806
179	0.548743873
180	0.5486619497
181	0.5485927657
182	0.5485371014
183	0.5484657998
184	0.5483864427
185	0.5483033338
186	0.5482360921
187	0.548169775
188	0.5481110831
189	0.5480326911
190	0.5479530261
191	0.5478836761
192	0.5478215359
193	0.5477599021
194	0.5476417858
195	0.5475925913
196	0.5475260129
197	0.5474475947
198	0.5473592899
199	0.5472825413
200	0.5471930958
201	0.5471141792
202	0.547022372
203	0.5469457382
204	0.5468836953
205	0.5467937661
206	0.5467367743
207	0.5466514358
208	0.5465692811
209	0.5465066989
210	0.5464659251
211	0.5463780709
212	0.5463276253
213	0.5462621804
214	0.5462199947
215	0.5461652763
216	0.5460905976
217	0.5460225578
218	0.5459546446
219	0.5458613968
220	0.5457869137
221	0.5457285919
222	0.5456739326
223	0.5456014736
224	0.5455253467
225	0.5454556995
226	0.5453699529
227	0.5452954384
228	0.5452300565
229	0.5451522527
230	0.545066767
231	0.545000113
232	0.5449239416
233	0.5448468445
234	0.5447517135
235	0.5446636873
236	0.5445978494
237	0.5445259268
238	0.5444656078
239	0.5443904376
240	0.5443228662
241	0.5442609003
242	0.5441987109
243	0.5441185002
244	0.5440416264
245	0.5439434388
246	0.5438465831
247	0.5437714191
248	0.5436766912
249	0.5435726807
250	0.5435122889
251	0.5434376119
252	0.5433265175
253	0.5432509536
254	0.5431717037
255	0.5430775119
256	0.5430057568
257	0.5429435306
258	0.5428616632
259	0.5427895975
260	0.542714331
261	0.5426250148
262	0.5425704357
263	0.542507798
264	0.5424273363
265	0.5423404911
266	0.542253251
267	0.5421677142
268	0.542080091
269	0.5419912092
270	0.541914172
271	0.5418498647
272	0.5417683421
273	0.5416876786
274	0.5416380239
275	0.5415784591
276	0.5414995266
277	0.5414220071
278	0.5413645062
279	0.5412947914
280	0.541234015
281	0.5411496326
282	0.541069852
283	0.5409933788
284	0.5408906985
285	0.5408272259
286	0.540781359
287	0.5407065271
288	0.5406471163
289	0.5405774309
290	0.5405329805
291	0.5404406556
292	0.5403619934
293	0.5402976401
294	0.5402333771
295	0.5401815579
296	0.5401016233
297	0.5400415999
298	0.5399886265
299	0.5399321258
300	0.5398585892
301	0.5397773446
302	0.5397197977
303	0.5396347088
304	0.5395691492
305	0.5394828057
306	0.5394069434
307	0.5393246214
308	0.539253539
309	0.5391483813
310	0.5390614766
311	0.5389811017
312	0.5388929991
313	0.5388110018
314	0.5387235288
315	0.5386794941
316	0.5386155941
317	0.5385382594
318	0.5384578625
319	0.5384095236
320	0.5383651608
321	0.5383030579
322	0.5382304777
323	0.5381499049
324	0.5380600251
325	0.5379933851
326	0.5379514402
327	0.5379001562
328	0.5378314337
329	0.5377566435
330	0.5377088285
331	0.5376345538
332	0.5375558755
333	0.537446898
334	0.5373749087
335	0.5373033346
336	0.5372472416
337	0.5371966515
338	0.537110019
339	0.5370574006
340	0.5369882147
341	0.5369225832
342	0.5368785094
343	0.5368020875
344	0.5367262704
345	0.5366565963
346	0.5365858749
347	0.5365161254
348	0.5364514361
349	0.5363912832
350	0.5363249899
351	0.5362603902
352	0.5362006962
353	0.5361226199
354	0.5360472228
355	0.5359696253
356	0.53589185
357	0.5358556722
358	0.535772367
359	0.5356915403
360	0.5355931521
361	0.5355459414
362	0.535475662
363	0.5354046245
364	0.5353662319
365	0.5352968153
366	0.5352287082
367	0.5351616714
368	0.5350874672
369	0.5350342974
370	0.5349678638
371	0.5348918708
372	0.5348375619
373	0.5347657127
374	0.5346909741
375	0.5346303832
376	0.5345799713
377	0.5345053705
378	0.5344486972
379	0.5344121699
380	0.5343440541
381	0.5342958198
382	0.5342392006
383	0.5341733423
384	0.5341207829
385	0.5340589806
386	0.5339792574
387	0.5339008874
388	0.5338115139
389	0.533750799
390	0.5336920744
391	0.5336357906
392	0.5335611779
393	0.5335045328
394	0.533464056
395	0.5333941066
396	0.5333056459
397	0.533237956
398	0.5331596482
399	0.5330987703
400	0.5330261708
401	0.5329883792
402	0.532887552
403	0.5328235153
404	0.5327670767
405	0.5326886362
406	0.5326410188
407	0.5325414385
408	0.5324776201
409	0.5323903669
410	0.5323238194
411	0.5322538932
412	0.5321842698
413	0.532133797
414	0.5320786213
415	0.5320072051
416	0.5319508191
417	0.5318667771
418	0.5318069057
419	0.5317342207
420	0.5316600074
421	0.5315752633
422	0.5314920715
423	0.531423532
424	0.5313393624
425	0.5312797733
426	0.531220184
427	0.5311708126
428	0.5311129891
429	0.5310522941
430	0.5309805412
431	0.5309030526
432	0.5308383826
433	0.5307686973
434	0.5307174379
435	0.5306684237
436	0.5306057911
437	0.5305144882
438	0.5304538231
439	0.5303855103
440	0.530336565
441	0.5302767732
442	0.5302090314
443	0.5301503662
444	0.5300954784
445	0.5300288156
446	0.5299494021
447	0.5298809432
448	0.5298326432
449	0.5297589149
450	0.5296766092
451	0.5295994986
452	0.5295102268
453	0.5294467942
454	0.5293699281
455	0.5293054882
456	0.5292394295
457	0.5291619487
458	0.5291037401
459	0.5290440426
460	0.5289936086
461	0.5289068547
462	0.5288220478
463	0.5287674837
464	0.5287000818
465	0.5286320707
466	0.5285720619
467	0.5285075436
468	0.5284541066
469	0.5283935497
470	0.5283204719
471	0.5282518728
472	0.5281921418
473	0.528124838
474	0.5280538449
475	0.5279791061
476	0.5278925297
477	0.5278276976
478	0.527769918
479	0.5276864612
480	0.5276277058
481	0.5275757964
482	0.5275202873
483	0.5274678902
484	0.5274132912
485	0.5273554548
486	0.5273077313
487	0.5272589582
488	0.5271982713
489	0.5271530146
490	0.5270973359
491	0.5270368638
492	0.5269774182
493	0.5269205139
494	0.5268711036
495	0.5268182679
496	0.5267504224
497	0.5267141722
498	0.5266741394
499	0.5266146565
500	0.5265690263
501	0.526503615
502	0.5264473492
503	0.5263771872
504	0.5262976139
505	0.5262175119
506	0.5261705298
507	0.5260907771
508	0.5260107186
509	0.5259560711
510	0.5258955564
511	0.5258296635
512	0.5257581529
513	0.5256977507
514	0.5256658122
515	0.5255955828
516	0.5255152881
517	0.5254669099
518	0.52540117
519	0.5253563307
520	0.5253058734
521	0.5252374709
522	0.5251938501
523	0.5251494078
524	0.5250794382
525	0.5250055233
526	0.5249369379
527	0.5248650842
528	0.5247995505
529	0.5247481047
530	0.5246730561
531	0.524612089
532	0.5245554919
533	0.5244880753
534	0.524440786
535	0.5244013994
536	0.5243395947
537	0.5243005283
538	0.524256816
539	0.5241916407
540	0.5241557213
541	0.5240982577
542	0.5240356537
543	0.5239740357
544	0.523932982
545	0.5238632193
546	0.5238122087
547	0.5237357326
548	0.5236605581
549	0.5235713563
550	0.5235054381
551	0.5234462654
552	0.5233599546
553	0.5233226652
554	0.523274707
555	0.5232101602
556	0.5231528693
557	0.5230837188
558	0.5230432239
559	0.5229693582
560	0.5229033976
561	0.5228435657
562	0.5227713297
563	0.5227170317
564	0.52265578
565	0.5225948964
566	0.5225244405
567	0.522461497
568	0.5223784247
569	0.5223275198
570	0.5222835042
571	0.5222275294
572	0.5221728653
573	0.5221341815
574	0.5220864778
575	0.522021784
576	0.5219662917
577	0.5219162405
578	0.5218460702
579	0.5217898982
580	0.5217304451
581	0.5216757775
582	0.5216141517
583	0.5215546993
584	0.5214712697
585	0.5214267371
586	0.5213613678
587	0.5213148926
588	0.5212457426
589	0.5212013582
590	0.5211365578
591	0.5210698316
592	0.5210333943
593	0.5209761127
594	0.5209225831
595	0.520868494
596	0.5208085272
597	0.5207269499
598	0.520701121
599	0.5206626622
600	0.5206313287
601	0.5205661045
602	0.5204930437
603	0.5204214064
604	0.5203505789
605	0.5202628764
606	0.5202162962
607	0.5201519349
608	0.5200823358
609	0.520031889
610	0.519958995
611	0.5199148544
612	0.5198541671
613	0.5197997841
614	0.5197469651
615	0.5196720198
616	0.5196113324
617	0.519534343
618	0.5194754872
619	0.5194227259
620	0.5193818687
621	0.5193374874
622	0.519281564
623	0.5192166052
624	0.5191461524
625	0.519095601
626	0.5190346202
627	0.51898248
628	0.5189218406
629	0.518873238
630	0.5188284881
631	0.5187478012
632	0.5186696786
633	0.5185932955
634	0.5185288345
635	0.5184780183
636	0.5184304565
637	0.5183834969
638	0.5183385906
639	0.5182861129
640	0.5182088542
641	0.5181452179
642	0.5180992574
643	0.5180392924
644	0.5179957532
645	0.5179241046
646	0.5178711745
647	0.5178084166
648	0.5177504213
649	0.5177090423
650	0.5176374209
651	0.5175650584
652	0.5174990964
653	0.5174368117
654	0.5173730565
655	0.5173194327
656	0.5172754341
657	0.5172245869
658	0.5171748939
659	0.5171024291
660	0.517056926
661	0.5169925448
662	0.516944747
663	0.5168873837
664	0.5168194938
665	0.5167260992
666	0.5166557015
667	0.5166052193
668	0.5165518237
669	0.5164939861
670	0.5164450631
671	0.5163868191
672	0.5163287533
673	0.516282018
674	0.5162265832
675	0.5161613523
676	0.5160970785
677	0.5160427822
678	0.5159876395
679	0.5159408619
680	0.5158584144
681	0.5157842115
682	0.5157332052
683	0.5156633898
684	0.5156228918
685	0.515537875
686	0.5154785592
687	0.5154214859
688	0.5153667145
689	0.5152838555
690	0.5152326775
691	0.5151695316
692	0.5151213456
693	0.5150529517
694	0.5150041175
695	0.5149445334
696	0.5148987979
697	0.5148455843
698	0.5147684221
699	0.5147128219
700	0.5146209517
701	0.5145647421
702	0.5144983426
703	0.5144487205
704	0.5143842032
705	0.5143214127
706	0.5142687649
707	0.5141944613
708	0.5141519234
709	0.5140895149
710	0.51401928
711	0.5139724178
712	0.5139146118
713	0.5138288416
714	0.5137663945
715	0.5136948242
716	0.5136440808
717	0.5135830197
718	0.5135138252
719	0.5134684285
720	0.5134377238
721	0.5133755617
722	0.5133188288
723	0.5132377594
724	0.5132027596
725	0.513140864
726	0.5130731015
727	0.5130111073
728	0.5129538994
729	0.5128840432
730	0.5128299849
731	0.5127868182
732	0.5127205611
733	0.5126566834
734	0.5125931102
735	0.5125448997
736	0.5124971688
737	0.5124289481
738	0.5123794536
739	0.512304289
740	0.5122314602
741	0.5121695215
742	0.5121115215
743	0.5120204071
744	0.511971778
745	0.511927769
746	0.5118588047
747	0.5117927238
748	0.5117395643
749	0.5116783076
750	0.511629072
751	0.5115560085
752	0.5114800383
753	0.5114284021
754	0.5113705471
755	0.5113063648
756	0.5112651299
757	0.5112222886
758	0.5111770064
759	0.5111243932
760	0.5110753678
761	0.5110246176
762	0.5109745229
763	0.5109131657
764	0.5108481623
765	0.5107799231
766	0.5107313353
767	0.5106768251
768	0.5106141835
769	0.5105481463
770	0.510505367
771	0.5104381089
772	0.5103715452
773	0.5103171486
774	0.5102603018
775	0.5101929251
776	0.5101448466
777	0.5100844474
778	0.5100269456
779	0.5099517813
780	0.5099033221
781	0.5098376082
782	0.5097438406
783	0.5096896529
784	0.5096487639
785	0.5095964198
786	0.5095572434
787	0.5095256229
788	0.5094429598
789	0.5094044657
790	0.509358932
791	0.5093015803
792	0.509266928
793	0.5092061434
794	0.5091639241
795	0.5091089413
796	0.5090537191
797	0.5090021467
798	0.5089368445
799	0.508884048
800	0.5088372456
801	0.5087836132
802	0.5087613468
803	0.5087007966
804	0.5086532972
805	0.5086143622
806	0.5085492114
807	0.5085046827
808	0.5084233038
809	0.5083613129
810	0.5083208894
811	0.508269409
812	0.5082185636
813	0.5081818856
814	0.5081083778
815	0.5080462505
816	0.5079860896
817	0.50794687
